County,,Total Votes Cast,DEM,REP,CON,IND,IND,IND,IND,IND,,,IND,IND,IND,IND,
,,,"Joseph R. Biden 
 Kamala D. Harris","Donald J. Trump 
 Michael R. Pence","Don Blankenship 
 William Mohr","Jo Jorgensen 
 Jeremy Spike Cohen","Brian Carroll 
 Amar Patel",Kasey Wells (write-in),"Jade Simmons
Claudeliah J. Roze (write-in)",President R19 Boddie (write-in),,,"Howie Hawkins 
 Angela Walker (write-in)","Gloria La Riva
Sunil Freeman (write-in)","Kanye West 
 Michelle Tidball (write-in)","Mark Charles
Adrian Wallace (write-in)",SCATTERING
VERNON ,,"15,923","7,457","8,218",29,182,24,0,0,0,,,6,0,1,2,4
VILAS ,,"15,369","5,903","9,261",22,138,14,0,0,0,,,0,0,0,0,31
WALWORTH ,,"57,600","22,789","33,851",98,641,75,0,0,0,,,15,0,8,0,123
WASHBURN ,,"10,378","3,867","6,334",19,123,13,0,0,0,,,4,0,0,0,18
WASHINGTON ,,"88,070","26,650","60,237",125,941,78,1,0,0,,,28,0,10,0,0
WAUKESHA ,,"267,996","103,906","159,649",305,"3,023",331,0,6,0,,,54,5,26,1,690
WAUPACA ,,"29,130","9,703","18,952",48,357,29,0,0,0,,,4,0,2,0,35
WAUSHARA ,,"13,568","4,388","9,016",30,115,19,0,0,0,,,0,0,0,0,0
WINNEBAGO ,,"94,032","44,060","47,796",168,"1,629",138,0,0,0,,,38,1,12,0,190
WOOD ,,"41,298","16,365","24,308",79,403,49,0,0,0,,,9,0,4,0,81
Office Totals:,,"3,297,352","1,630,673","1,610,065","5,144","38,491","5,258",25,36,5,,,"1,089",110,411,52,"5,993"
